id,full_name,identifier,category,FSF Free/Libre,OSI Approved,Commercial use,distribution,modification,patent use,private use,disclose source,license and copyright notice,Network use is distribution,same license,state changes,liability,trademark use,warranty
3,GNU Affero General Public License v3.0,AGPL-3.0,Copyleft,Y,Y,permissions,permissions,permissions,permissions,permissions,conditions,conditions,conditions,conditions,conditions,limitations,not mentioned,limitations
5,Artistic License 2.0,Artistic-2.0,Weaker Copyleft,Y,Y,permissions,permissions,permissions,permissions,permissions,condition,conditions,not mentioned,not mentioned,conditions,limitations,limitations,limitations
13,Creative Commons Attribution Share Alike 4.0 International,CC-BY-SA-4.0,Copyleft,Y,,permissions,permissions,permissions,limitations,permissions,not mentioned,conditions,not mentioned,conditions,conditions,limitations,limitations,limitations
14,CeCILL Free Software License Agreement v2.1,CECILL-2.1,Copyleft,,Y,permissions,permissions,permissions,permissions,permissions,conditions,conditions,not mentioned,conditions,conditions,limitations,not mentioned,limitations
16,Eclipse Public License 1.0,EPL-1.0,Weak Copyleft,Y,Y,permissions,permissions,permissions,permissions,permissions,conditions,conditions,not mentioned,conditions,not mentioned,limitations,not mentioned,limitations
17,Eclipse Public License 2.0,EPL-2.0,Weak Copyleft,Y,Y,permissions,permissions,permissions,permissions,permissions,conditions,conditions,not mentioned,conditions,not mentioned,limitations,not mentioned,limitations
18,European Union Public License 1.1,EUPL-1.1,Copyleft,Y,Y,permissions,permissions,permissions,permissions,permissions,conditions,conditions,conditions,conditions,conditions,limitations,limitations,limitations
19,European Union Public License 1.2,EUPL-1.2,Copyleft,,Y,permissions,permissions,permissions,permissions,permissions,conditions,conditions,conditions,conditions,conditions,limitations,limitations,limitations
20,GNU General Public License v2.0,GPL-2.0-only,Copyleft,Y,Y,permissions,permissions,permissions,not mentioned,permissions,conditions,conditions,not mentioned,conditions,conditions,limitations,not mentioned,limitations
21,GNU General Public License v2.0 or later,GPL-2.0-or-later,Copyleft,Y,Y,permissions,permissions,permissions,permissions,permissions,conditions,conditions,not mentioned,conditions,conditions,limitations,not mentioned,limitations
22,GNU General Public License v3.0,GPL-3.0-only,Copyleft,Y,Y,permissions,permissions,permissions,permissions,permissions,conditions,conditions,not mentioned,conditions,conditions,limitations,not mentioned,limitations
24,GNU Lesser General Public License v2.1,LGPL-2.1-only,Weak Copyleft,Y,Y,permissions,permissions,permissions,not mentioned,permissions,conditions,conditions,not mentioned,conditions,conditions,limitations,not mentioned,limitations
25,GNU Lesser General Public License v2.1 or later,LGPL-2.1-or-later,Weak Copyleft,,,permissions,permissions,permissions,permissions,permissions,conditions,conditions,not mentioned,conditions,conditions,limitations,not mentioned,limitations
26,GNU Lesser General Public License v3.0,LGPL-3.0-only,Weak Copyleft,Y,Y,permissions,permissions,permissions,permissions,permissions,conditions,conditions,not mentioned,conditions,conditions,limitations,not mentioned,limitations
